objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,GlobalID_2,Shape__Area,Shape__Length
1,7,6.95503347,302960.0462628,Neighborhood Park,NP,5,Alton Playground,Alton Park,Alton Park,Western,1680.93778101,5469398c-9490-4e55-b4d4-776bc4862a7e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,4.02708068633731,e866306d-8c3a-49ab-929d-6d9dfe1fc204,28146.015625,673.341515971604
2,50,11.65860079,507846.6189228,Neighborhood Park,NP,4,Dunbar Playground,Dunbar Park,Dunbar Park,Western,2666.55630682,5d9753a7-660a-4015-abb1-96fb651a03cf,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,6.74571430451881,0af5d42a-9086-4282-af43-e3982c1c54d5,47180.68359375,1068.12857339807
3,44,12.48337234,543773.52418028,Neighborhood Park,NP,13,Curto Park,Frank Curto Park,Frank Curto Park,State,4947.79134007,789bcaf2-11c5-4ada-82e8-e03ad3899319,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,7.22028579487693,4558edd7-bb47-4d3a-a3f7-a15e49119b1b,50518.4140625,1980.85650192447
4,38,7.30378864,318151.76061004,Neighborhood Park,NP,1,Cowley Playground,Cowley Park,Cowley Park,Northern,1706.73971546,d8f9288e-6a5e-4640-8245-97a8c6a95248,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,4.22351288285124,c4e93780-6bbe-4c6f-a7f4-d5af8e466e94,29557.37890625,683.92287791608
5,121,15.4304847,672149.22508041,Neighborhood Park,NP,4,McGonigle Playground,McGonigle Park,McGonigle Park,Western,4098.9491653,96e44c78-3181-4961-8e84-b40b284bbfb6,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,8.92271914085625,683633cd-105b-4bf1-a1a8-1e8e553c4b58,62444.9453125,1643.20418935046
6,58,1.47568613,64280.63066779,Regional Park,RP,6,Eileen McCoy Parklet,Emerald View Park - Eileen McCoy Park,Emerald View Regional Park,Western,780.26813719,85e78b3f-6464-4be8-a756-695779735770,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,0.85385041001108,494653d4-ad1c-470b-a250-2cc3c9575700,5971.8984375,312.666485129927
7,172,2.24674575,97867.85344756,Neighborhood Park,NP,1,Spring Garden Field,Spring Garden Park,Spring Garden Park,Northern,1231.0089363,cafe92f4-0b45-42f4-9411-15363c7d50d1,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,1.29894135449263,d4b40017-41bd-4b9b-ab6a-000d303adbf7,9092.25,493.888492384658
8,190,38.97696219,1697829.68166274,Community Park,CP,13,West Penn Park,West Penn Park,West Penn Park,State,4544.06311033,a0481df3-0fb0-4913-8d63-74cf6358656b,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,22.541392752484,cd81a886-4aaa-4182-bce0-474a360fec30,157734.1796875,1820.3361825004
9,22,2.90655674,126609.10522713,Neighborhood Park,NP,9,Blair St Parklet,Blair Street Park,Blair St. Park,Schenley,1179.30834272,284d433b-7f9f-4708-83ff-c76d15c28685,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,1.68346994460849,fdb527d8-40f4-49fd-a3cc-ad74859bc594,11762.42578125,472.659605763048
10,29,0.161462,7033.25655271,Beautification Site,BTF,5,Brookline Monument,Brookline Monument,Brookline Monument,Southern,301.24993005,db8866c6-e4e2-40cc-9b91-b6a61dbb8579,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,4th Division,9.35520726418919E-02,86c779f2-4d1f-427f-8baa-2cedc7ce8ebd,653.43359375,120.556638587203
11,20,0.41712325,18169.81599879,Beautification Site,BTF,5,Beechview Monument,Beechview Monument,Beechview Monument,Western,444.08349025,de2ca330-1b55-483d-9403-4637822ca5e3,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,5th Division,0.241599056950036,c1a4e3bb-7b72-4b78-8282-c064d0e4fced,1688.03125,177.947133385568
12,192,0.02249231,979.7609177,Beautification Site,BTF,4,Westwood Island,Westwood Island,Westwood Island,Western,93.1245652,82bd048c-8ac4-45af-991b-72228f39bd32,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,5th Division,1.30144705159557E-02,1095b13a-2907-48be-94d3-ab2fda453e1b,91.03125,37.3102791515177
13,12,2.73884846,119303.76172629,Neighborhood Park,NP,7,Armstrong Playground,Armstrong Park,Armstrong Park,Southern,1015.27727183,8b1b9560-5b36-4925-93a2-205b276edb4f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,1.58520748528151,5264a44a-f5f4-42ea-a370-aa219ef81f72,11083.734375,406.753333206126
14,166,0.25738066,11211.45686867,Beautification Site,BTF,4,Sheraden Monument,Sheraden Monument,Sheraden Monument,Western,369.47866131,8418b4f5-e453-45fb-9b9f-71b56a782739,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,5th Division,0.148856287636088,23c99b73-f237-4784-b872-d394eb58a47e,1041.58984375,148.113103310273
15,94,1.02593991,44689.76357258,Neighborhood Park,NP,3,Jefferson Playground,Jefferson Park,Jefferson Park,Northern,679.93778871,fbfc5a30-c277-428b-b9a3-d8fd5eb06a64,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.59325562946793,3cd36d13-b6c9-45aa-80cf-d80e0986ec08,4151.84375,272.710547317956
16,206,11.10245171,483620.86210213,Neighborhood Park,NP,1,Spring Hill Playground,Spring Hill Park,Spring Hill Park,Northern,2401.52521801,1be984a8-ff8e-4e15-baaf-ba53e2fac8c3,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,6.4179415111903,e47fe3bb-9891-48f1-9a48-da6295a087f0,44930.03515625,962.288433488359
17,39,0.1516952,6607.81656423,Beautification Site,BTF,14,Craft Triangle,Craft Triangle,Craft Triangle,Schenley,249.4495686,ed06cbc2-d61c-453c-a61f-0b2f2aea4fac,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,8.77785462922157E-02,218779a6-f50b-4587-83fc-76c2ad148043,613.890625,99.9276835879911
18,16,0.48081782,20944.34061654,Beautification Site,BTF,14,Bates St Triangle,Bates St Triangle,Bates St Triangle,Schenley,431.50681888,88d2aac9-ab97-4fe4-95de-093659d7a5fd,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.278234841324518,fcdcfafc-11fc-414a-9d2f-8e056851b3ab,1945.78125,172.882153721956
19,104,10.42859487,454267.77554176,Neighborhood Park,NP,13,Leslie Park,Leslie Park,Leslie Park,Northeast,2066.00460031,8728e9ee-a6c5-49fa-80f8-b369a26aae02,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,6.02794436722474,dda0833f-0613-4930-93bb-66e30350fa76,42203.01953125,828.42073406899
20,93,0.05964408,2598.08577901,Beautification Site,BTF,16,Jail Triangle,Jail Triangle,Jail Triangle,State,169.0067854,2193e97c-d602-446e-94a5-d37370e864ec,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,6th Division,3.45108438562134E-02,3de77e53-3197-4bd0-808a-85ef5dfbf0b1,241.375,67.6634128681743
21,177,2.04041525,88880.1326501,Neighborhood Park,NP,10,Swisshelm Parklet,Swisshelm Park,Swisshelm Park,Eastern,909.71795803,a345eae0-81c6-4e68-88ef-e73c5717311f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,1.18120923960782,922ca8d8-e2bc-4236-a68b-36ec2ba1fad6,8257.27734375,364.462447565535
22,204,1.12126522,48842.11772653,Neighborhood Park,NP,4,Townsend Parklet,Townsend Park,Townsend Park,Western,669.53504644,446d0fe8-1532-4253-8258-fcb5c0677421,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,0.648685086272452,5a34c815-6b03-4217-8017-6234a07d77bb,4537.61328125,268.291037707778
23,95,9.3684118,408086.38544114,Neighborhood Park,NP,12,Joe Natoli Playground,Joe Natoli Park,Joe Natoli Park,Northeast,2027.25345377,bc75545d-28e9-4c68-b1fd-40fa6c3b3bbf,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,5.41337555544003,8485996f-3ffc-4b7f-9930-3e62e70739f7,37912.62109375,812.79938199073
24,62,6.14574771,267707.69930688,Neighborhood Park,NP,4,Fairywood Playground,Fairywood Park,Fairywood Park,Western,1580.61786622,b14e6db3-cd9c-4ce2-9b58-aa2632b7a75f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,3.5548767709444,c6dea7b6-ccb2-42dd-9d75-cc6ae01e4f07,24870.94140625,633.400422720458
25,114,5.26850303,229495.07421997,Neighborhood Park,NP,3,Manchester Playground,Manchester School Park,Manchester School Park,Northern,1734.43395184,98a049bc-a038-4cf7-bc06-a8ab9c41582f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,3.04674749625362,7c58e280-011b-4560-a619-8a2f2126dc49,21320.87109375,602.978513339878
27,106,2.00079282,87154.18642304,Beautification Site,BTF,16,Liberty Avenue Island,Liberty Avenue Island,Liberty Avenue Island,State,2220.12911752,ab150e5d-67ff-4b95-a634-3e3c5397f38b,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,6th Division,1.15757262254229,60c5e61f-16f7-482c-a884-35a3fde1e713,8096.93359375,888.842052885059
28,209,2.7897672,121521.77311018,Beautification Site,BTF,16,Fort Duquesne Blvd Strip,Fort Duquesne Blvd Strip,Fort Duquesne Blvd Strip,State,8077.47299568,683f2117-5293-470b-89bd-a70f4e6775bd,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,6th Division,1.61390665476499,127c452f-8c38-426a-be85-5e60492572f0,11289.78515625,3232.34408314909
29,218,15.28729261,665911.80240745,Neighborhood Park,NP,,,Washington's Landing Park,,,,,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,8.83743664318581,4bc43c46-fe0f-42d8-b206-a531a1622810,61865.47265625,1258.3431999142
30,134,1.54185982,67163.14517516,Beautification Site,BTF,12,Negley Run Blvd,Negley Run Blvd,Negley Run Blvd,Northeast,1568.61965766,0d64322c-0c5d-4008-9652-0cf4c8e5075e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,0.891384557725449,1a783902-f50b-4ce9-853c-8bb57a099be1,6239.703125,628.000685950562
31,88,0.09797942,4267.96656138,Beautification Site,BTF,12,Highland Ave Plant Strip,Highland Ave Plant Strip,Highland Ave Plant Strip,Northeast,361.07461526,646d5e11-0ec7-4f5b-81ad-0e50bd2bfcbe,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,5.66455495535085E-02,5f836a6b-0634-4479-b37e-90493af2175d,396.50390625,144.567812257912
32,136,0.27025547,11772.28128756,Beautification Site,BTF,12,Negley-Collins Triangle,Negley-Collins Triangle,Negley-Collins Triangle,Northeast,340.7149413,6800cfe2-5d26-4f19-a71f-8e507978ad94,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,0.156242956138908,a08d5e0d-1110-481e-b10e-43e83abf4562,1093.6796875,136.510972072081
33,124,1.0477129,45638.19124219,Beautification Site,BTF,11,McPherson Blvd Strip,McPherson Blvd Strip,McPherson Blvd Strip,Eastern,2418.06827803,7b7961f7-5e49-410f-a46c-cb27d41465fc,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,0.605921195433321,81ea5c88-b81c-49ce-a48d-1ef28a644f83,4239.94921875,968.221965195105
34,179,1.0229946,44561.46656094,Beautification Site,BTF,11,Thomas Blvd Planting Strip,Thomas Blvd Planting Strip,Thomas Blvd Planting Strip,Eastern,2507.73330983,241f501a-1070-401c-b117-168461d0d1ca,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,0.591641293305781,891f8ba4-b455-4c78-9a23-badbe75ad792,4139.921875,1004.09444420046
35,100,0.21528455,9377.75754525,Beautification Site,BTF,10,Le Roi Rd Island,Le Roi Rd Island,Le Roi Rd Island,Eastern,541.81569145,f6aa791b-e26a-4809-8abb-6b6b83fc14cc,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.124531542325976,e239406c-4087-4276-a14d-339d256249bd,871.21484375,217.385188566091
36,159,0.06555962,2855.76543632,Beautification Site,BTF,10,Reynolds St Planting Circle,Reynolds St Planting Circle,Reynolds St Planting Circle,Eastern,144.68059197,530e9f89-cd66-4416-bcfc-5427f7dd7f84,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,3.79243799366842E-02,2058dd73-c88a-45e9-a89b-5b7077c570ed,265.30859375,57.9812546206293
37,76,0.00184874,80.53057686,Beautification Site,BTF,10,Glen Arden Circle,Glen Arden Circle,Glen Arden Circle,Eastern,24.316377,c273533e-c3d7-41a9-ad58-cac20ff7937b,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,1.06941895512493E-03,bb664ae7-3f6b-4822-9ec2-1e5670722076,7.484375,9.74490836106217
38,77,0.01245659,542.60680675,Beautification Site,BTF,10,Glen Arden Triangle,Glen Arden Triangle,Glen Arden Triangle,Eastern,69.95243577,42b935d1-085d-4ec1-951b-8c2e02bf702a,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,7.20539825269681E-03,0b7975db-2ad4-4695-9101-d7aac8f60cc3,50.40625,28.0412167618791
39,57,0.00285936,124.55301679,Beautification Site,BTF,10,Edgerton Circle,Edgerton Circle,Edgerton Circle,Eastern,30.2251192,aaa0ea46-f889-43ee-92a4-8d2cb5f28154,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,1.65398580598273E-03,676de1e1-5b46-421e-b6cf-9a299d6e144b,11.56640625,12.1129845563024
40,126,1.16175929,50606.03238173,Beautification Site,BTF,10,Mellon Park Island,Mellon Park Island,Mellon Park Island,Eastern,744.325083,79324a1c-1ea2-4101-8abc-c0bb3353dfc8,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.671927133820977,907b2dbc-fd60-4c1c-9011-3aaa54b53d59,4701.47265625,298.394611165586
41,151,0.12732842,5546.40362235,Beautification Site,BTF,12,Penn Circle W Triangle,S Euclid Ave Triangle,S Euclid Ave Triangle,Northeast,345.90545485,2a334f85-c134-4aac-8158-d03cf25f5b55,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,7.36210130154146E-02,ce09e940-301a-4611-b196-85639c0f86a5,515.27734375,138.674743941838
42,150,0.05156951,2246.35870145,Beautification Site,BTF,12,Penn Circle W Square,N Euclid Ave Square,N Euclid Ave Square,Northeast,194.32174019,d12831e9-bd61-4c52-ab4d-9931dd5f4f42,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,2.98172387221314E-02,7bf0a4cc-7323-42b9-875a-c1fc6b27f2db,208.6953125,77.8427059974591
43,8,0.17855903,7778.00011895,Beautification Site,BTF,12,Amber Triangle,Amber Triangle,Amber Triangle,Northeast,296.74385881,f2ac7993-bc0c-4271-9071-e469f8f652cc,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,0.103252856434758,39387e16-b52a-4893-8857-af8ebf7c27aa,722.6171875,118.904249355041
44,17,0.47781632,20813.59571412,Beautification Site,BTF,12,Baum Negley Triangle,Baum Negley Triangle,Baum Negley Triangle,Northeast,504.37222474,fa3d8490-619c-4c5d-acee-a60c745dd8b5,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,0.276303387360869,ea5e1a81-7f53-49be-82f6-f149aae43360,1933.64453125,202.080501179449
45,69,7.85365843,342103.99295694,Beautification Site,BTF,12,Frankstown Triangle 1 & 2,Frankstown Triangle 1 & 2,Frankstown Triangle 1 & 2,Northeast,3139.28567015,732bc31d-d5bf-4d93-b8be-795a9bdeaf77,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,4.54113022302529,9a59fbad-5c58-4d85-8862-93181408095a,31782.63671875,1259.27087224346
46,155,0.03998018,1741.52949276,Beautification Site,BTF,13,Polish Hill Monument,Polish Hill Monument,Polish Hill Monument,Schenley,134.44142936,b37088bf-d7c0-401e-9d93-e5f9f85ca70b,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,2.31203503152232E-02,a4c5e804-2a94-4217-b6a3-45fc5c461386,161.78515625,53.9272349600803
47,128,0.13659002,5949.83764709,Beautification Site,BTF,10,Monitor St and St Phil Islands,Monitor St and St Phil Islands,Monitor St and St Phil Islands,Eastern,251.94530266,8b16bb3a-205c-4812-aa9a-ad87e31e2a78,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,7.90600733745719E-02,71d862ef-2d24-4e93-a6e4-4c64d1111543,552.76171875,100.902864147407
48,102,0.36268475,15798.48458799,Neighborhood Park,NP,1,Leister St Parklet,Leister Street Park,Leister Street Park,Northern,410.53604786,a9d16cfe-003c-476c-8ea2-0d522202d3ea,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.20970584063105,8f8a6836-bdae-4522-9294-5f21ab92dd8c,1467.734375,164.568271176196
49,207,2.55713224,111388.23490063,Neighborhood Park,NP,5,Tropical Parklet,Tropical Park,Tropical Park,Western,1057.28576373,96b7ba58-af4f-4803-a06a-ee46a0219b12,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,1.48028570712865,9fe86897-ebb2-495b-9209-a1057db7fdeb,10348.34765625,423.434904320372
50,113,3.98755887,173697.36938177,Neighborhood Park,NP,3,Manchester Park,Manchester Park,Manchester Park,Northern,1563.26918368,ce0b955c-091a-4ce4-a0bd-6f24dfe298bb,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,2.30585030549876,643e8d1a-9dfa-4a5e-8a4a-b16c521ef5a2,16137.078125,626.167594035937
51,225,1.58614227,69092.08097968,Neighborhood Park,NP,,,Washburn Square Park,,,,,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.916981317449163,cc3afabc-09b8-423b-bff9-0290eb649fe7,6418.890625,376.619445633425
52,83,2.17950977,94939.06597554,Neighborhood Park,NP,8,Hays Parklet,Hays Park,Hays Park,Southern,1369.16447913,286d8335-f1a8-402b-969d-0ede4cfcd2cc,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,1.26313166940442,ba5db3d7-df00-4428-b014-18160b4e11a0,8820.15625,548.102964564386
53,185,4.21096053,183428.70705924,Neighborhood Park,NP,4,Wabash Playground,Wabash Park,Wabash Park,Western,1676.46021167,92eb8cf6-4bbf-4a30-8b50-91ffe4b4fdda,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,2.43646042310085,d4de4497-2f02-42bb-84d0-029b4dfa4c02,17041.1484375,672.525133989985
