objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,GlobalID_2,Shape__Area,Shape__Length
164,64,5.97530944,260283.4380651,Neighborhood Park,NP,3,Fineview Field,Fineview Field Park,Fineview Field,Northern,1791.9436509,21784547-a11b-4006-ad6c-9b27cf995c19,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,3.45518218138323,b2f7022f-ff51-43d2-92d6-a1ad3a2263a6,24181.21875,695.614057334491
165,226,2.26124021,98499.22933866,Riverfront Park,RVR,,,Monongahela Wharf Landing Park,,,,,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,1.30833167050577,76e980ff-b47e-4121-b8cb-da05e9a88613,9150.91015625,1414.36276094626
166,215,0.33115151,14424.90188962,Neighborhood Park,NP,,,Venson Park,,,,,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,0.1917319001789,d142e3b7-d6d5-4f1f-b7a4-080d908253dc,1340.12109375,149.028327984529
167,129,11.25671101,490340.37034513,Neighborhood Park,NP,7,Monongahela Playground,Monongahela Park,Monongahela Park,Southern,2224.84284636,6d41972a-17ea-447a-8aec-792fed745308,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,6.51645016014859,a63d4dd1-691c-4483-8eca-06b044bde238,45554.3046875,891.426702230602
168,103,0.78600588,34238.27922772,Neighborhood Park,NP,5,Leolyn Parklet,Leolyn Park,Leolyn Park,Southern,617.72292841,f027a6f9-cb67-4ec2-8d03-66eb8ad658f0,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,0.455316249284806,9f752ae0-7458-4e2f-b46b-3efc3e36264f,3180.85546875,247.356642481879
169,63,3.60777784,157154.17412434,Neighborhood Park,NP,13,Fifty-Seventh St Playground,Fifty-Seventh Street Park,Fifty-Seventh Street Park,Northeast,1535.49617355,31373659-cf0f-4036-9c4b-b23dc2763456,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,2.08456054369344,83fafbfb-c2e3-4886-908e-cacd4e69f194,14600.15625,615.619626965408
170,184,22.12698502,963847.6118622,Neighborhood Park,NP,5,Volunteers Field,Volunteers Park,Volunteers Park,Southern,5812.4419735,febad663-68a9-4e76-ae18-ae4f8430cfae,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,12.8185115992725,ba3edf2f-2028-4291-a758-918e5e46e5eb,89544.7265625,2607.78372350718
171,154,49.77095659,2168014.19717014,Riverfront Park,RVR,16,Point State Park,Point State Park,Point State Park,State,12943.2387982,bf1a98df-8a5b-454a-a172-cb061bab8d70,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,,28.7954106770457,9aa27005-4ff1-49dd-83cf-9af887bc79d4,201415.91796875,5184.19462735359
172,66,16.39693481,714247.62320797,Neighborhood Park,NP,12,Fort Pitt Playground,Fort Pitt Park,Fort Pitt Park,Northeast,3309.67418793,af65aeef-0944-4a0c-936f-96ea81bec49b,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,9.47870336365845,3a295e8b-f0d2-4496-856d-b5a93fbf2e96,66356.03125,1326.31607660004
173,80,0.74410281,32412.98865824,Beautification Site,BTF,16,Grant Street Islands,Grant Street Islands,Grant Street Islands,State,3596.22994508,ec7791b6-034e-4e49-95d3-594550c438cf,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,6th Division,0.430523368517251,dc42765c-2d59-4c96-a508-e0f487d7a931,3011.2734375,1442.39210264952
174,168,0.76770194,33440.96259447,Special Use Park,SU,4,Sheraden Senior Center,Sheraden Healthy Active Living Center,Sheraden Senior Center,Western,609.38315894,0a4c9da4-797d-466c-859a-27575a608045,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,0.44397952148459,e849e095-536a-4770-9b20-fa440e22b2cc,3106.77734375,244.084857509403
175,208,10.49962938,457362.02618184,Neighborhood Park,NP,5,Vanucci Field,Vanucci Park,Vanucci Park,Western,2391.38259646,19b0ba76-3aad-4e9f-9174-18013f454a6d,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,6.07941302712069,ff1513c7-f522-4fe3-8d9e-359d684c1f1a,42490.51171875,957.265457542479
176,175,0.91785419,39981.56878894,Neighborhood Park,NP,4,Stratmore Parklet,Andrew Joseph Kukuruda Park,Stratmore Park,Western,845.11152083,98e651e7-e357-48d5-ad8e-53db1a814a8e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,0.531061614124622,249b7c17-c429-403d-b6b1-7598b86b4441,3714.43359375,338.649793071837
177,211,0.98415588,42869.65873598,Neighborhood Park,NP,1,Troy Hill Citzen's Park,Troy Hill Citizen's Park,Troy Hill Citzen's Park,Northern,708.69794992,c4abaefd-877d-4c42-b588-60a126ebfa5a,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.56902453496701,d27501f5-1c8a-4268-856f-840f2e57c4a4,3982.73828125,284.077775451545
178,133,0.59699069,26004.81032738,Neighborhood Park,NP,4,Mutual Parklet,Mutual Park,Mutual Park,Western,629.88083149,c3ced6af-31f3-4c14-88e2-a17fe6b295e6,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,0.345285544800263,2893f1f4-9a3b-4fd9-919e-38ec7f74e5f8,2415.94140625,252.618355154825
179,194,3.81622151,166233.94409077,Neighborhood Park,NP,10,Wightman Playground,Wightman Park,Wightman Park,Eastern,1305.90809687,9073e51f-4d78-42ff-8fc0-97344d058d0e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,2.20777380203681,db2f3429-efae-47a8-b3be-94d20e9ce3a2,15443.71484375,523.002077837653
180,164,750.14033851,32675982.4412121,Regional Park,RP,10,Schenley Park,Schenley Park,Schenley Park,Schenley,123344.865833,2be79c72-ff3d-4f6e-844d-6ad22c49556a,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,434.08262293757,d0407f7d-a985-4d61-a78d-0ff38b0e23d1,3035710.2578125,49416.6642748043
181,86,14.38015892,626397.2167514,Community Park,CP,4,Hershel Playground,Herschel Park,Hershel Park,Western,5898.08325819,5011c72c-2a08-418b-844d-b3dbbca6075e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,20.4066995884817,216a844c-942d-4d82-a6a4-919cd9a4e9e5,58194.4375,1042.20041111645
182,1,2.86555093,124822.89931389,Neighborhood Park,NP,5,Able Long Parklet,Able Long Park,Able Long Park,Western,1079.63858184,fb46cd7e-fcf3-47de-86b2-b44a62ecb0da,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,1.65951668056316,0ced60a3-325f-46d8-a051-5b4a9d823d75,11596.484375,432.518080650561
183,141,8.43557576,367452.21047615,Neighborhood Park,NP,4,Oakwood Playground,Oakwood Park,Oakwood Park,Western,3111.47553148,62caf5f1-7f9e-4563-8a86-41b42ccbf634,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,4.88269047476746,012f5af7-99e8-447a-8b08-59d615c3a057,34137.55859375,1246.82348806576
184,108,1.09567067,47727.22344868,Neighborhood Park,NP,8,Lincoln Place Parklet,Lincoln Place Park,Lincoln Place Park,Southern,763.19671597,b4b74fc4-80c6-4534-93d5-83dcd06e43c8,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,0.635246510473499,cc983be9-b9b3-47f7-92f6-491f68275e27,4434.0234375,305.815252632178
185,188,8.10553147,353075.53850909,Neighborhood Park,NP,4,West End Elliot Overlook Park,West End-Elliott Overlook Park,West End-Elliot Overlook Park,Western,4135.08502495,db34d78e-3287-40aa-8754-89ff7af41c76,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,4.68886758561405,d19d6f08-a807-45f3-bc2a-22cd14b6432f,32801.921875,1657.2811784109
186,144,4.5908687,199977.44049413,Neighborhood Park,NP,7,Ormsby Playground,Ormsby Park,Ormsby Park,Southern,1549.34963964,a67c8014-7b92-4125-af8e-aa51286451f2,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,2.65703619400541,0b54caa0-0c72-48f5-9388-c3690e6b5410,18578.59375,621.390875012257
187,158,0.80895407,35237.89826793,Neighborhood Park,NP,8,Revenue Park,Roland Lockridge Community Park,Roland Lockridge Community Park,Southern,590.84100675,44bbbdf5-c2db-451c-b880-9251b8211455,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,0.468682427403543,a607a71c-3da9-4b41-a7a6-80cdcd163370,3273.734375,236.488162076142
188,122,135.61621346,5907418.62841062,Community Park,CP,6,McKinley Park,McKinley Park,McKinley Park,Southern,17715.7659737,0057c452-d431-4d76-bd57-a1f581977a5e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,78.5283508706073,9ee4eeaf-ca46-45d4-8b90-f64819c8c3b9,548819.3671875,7095.00979414732
189,196,4.64863455,202493.71089831,Neighborhood Park,NP,7,Winters Playground,Winters Park,Winters Park,Southern,1961.47202182,39be7594-ab5d-43e6-a152-a1cb6ec627ee,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,2.69099283576145,e6255cf2-f0a7-4ce4-a448-fa58f04d535f,18812.34765625,785.935955797399
190,49,24.99790049,1088904.1898056,Community Park,CP,13,Dinan Playground,Dinan Park,Dinan Park,Northeast,4324.05085525,6ae57e29-f05f-4863-b819-cd72229aa471,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,14.4448039950448,0d74b455-3572-4be5-8599-c52d90cefc1c,101162.90625,1524.50848328492
191,23,10.04922695,437742.57503681,Neighborhood Park,NP,13,Bloomfield Playground,Paul J. Sciullo II Memorial Park,Bloomfield Park,Northeast,3262.78087797,4724c15b-ecec-4b4b-9b88-c709f759b98f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,5.81048103930772,d2de03e3-6556-4086-95b8-3688d4987961,40667.8046875,1307.43982045734
192,26,55.40040557,2413232.01376541,Community Park,CP,2,Brighton Heights Park,Brighton Heights Park,Brighton Heights Park,Northern,12357.0948233,2ebd3497-6b22-4a86-95f4-cc01dc82048a,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,32.0105698514488,38bafa53-713d-4ac9-a2e7-10889971ab0f,224197.54296875,4954.7239409861
193,145,2.07066855,90197.96138305,Neighborhood Park,NP,12,Osceola Parklet,Osceola Park,Osceola Park,Northeast,907.56586396,975a22ed-f845-4214-964f-4d2824d17d41,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,1.19746041300709,fd8b6174-90bd-4be2-bdce-d91b474f7cc4,8379.69140625,363.780980780685
194,13,15.23646217,663697.63725306,Community Park,CP,13,Arsenal Park and School,Arsenal Park,Arsenal Park,Northeast,2498.19408838,7bfb78ce-506d-454c-a4d2-eb6a2494361e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,8.80859448153925,1fddbd60-b034-4f14-b205-b6f1c9a11b94,61659.77734375,1001.51771918114
195,189,29.42269116,1281647.30025867,Community Park,CP,4,West End Park,West End Park,West End Park,Western,15318.7895242,f1ba0266-6b8c-4555-a57a-4003e8adf767,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,17.025105911415,270b022f-5168-4912-8256-796548e308ee,119069.33203125,6137.90465565819
196,90,4.64805814,202468.6028608,Neighborhood Park,NP,11,Homewood Playground,Homewood Park,Homewood Park,Eastern,1360.90801945,9296bb5e-10ce-4bb7-a855-54fe7a1c97be,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,2.68817571638297,70a6703d-a3d9-4a8e-8a10-295f435d6847,18810.02734375,545.432081458488
197,193,5.64608257,245942.37292594,Public School,SCH,4,Westwood School,Westwood School Park,Westwood School,Western,1572.77684889,843e43a8-79ed-42c4-975b-9791c5161212,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,3.04192655216271,b77d66c5-1011-4e4f-8aa1-bd7ee7c108b8,22848.89453125,607.297032498449
198,119,39.20199797,1707632.20084053,Community Park,CP,8,McBride Park,McBride Park,McBride Park,Southern,7470.06276691,c5ca4ed7-b654-4d29-9e89-caba44345bf4,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,22.7283109197048,714c6d58-6dd1-4134-aba2-233e327919e2,158644.85546875,2987.59339227395
199,78,9.95353189,433574.11483924,Regional Park,RP,6,Grandview Overlook,Emerald View Park - Grandview Overlook,Emerald View Regional Park,Western,5037.75089773,e065b497-78da-4f77-b22f-ad9c13a0b5ec,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,9.95353189028693,ddfc5e44-6409-448b-a742-64ddf2638b2b,40280.49609375,1819.50416624505
200,14,28.7367361,1251767.21758508,Community Park,CP,5,Banksville Park,Banksville Park,Banksville Park,Western,6186.41940115,62ec008f-5309-4759-8d0e-3548938dcd38,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,16.6391731244351,a8b60403-80cb-4f18-ad33-64c10b5e2443,116293.45703125,2477.5916474028
201,120,0.34579495,15062.76796657,Neighborhood Park,NP,13,McCandless Tot Lot,McCandless Park,McCandless Park,Northeast,376.61683219,6466049c-ed79-4b4a-a7fd-eee9db4eaba5,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,0.199829795978656,bc95eab3-131e-47ac-ad62-72a1d36c54c5,1399.38671875,151.005754616547
202,130,17.45200506,760206.29945137,Community Park,CP,5,Moore Park,Moore Park,Moore Park,Southern,2752.13027248,50baa3f0-758b-4bbb-98d6-3c07b42a0826,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,10.1078247196556,d3b03800-b334-4327-ac0b-76e3e74a8cf9,70625.76171875,1101.70599156565
203,160,447.51617758,19493726.7201715,Regional Park,RP,2,Riverview Park,Riverview Park,Riverview Park,Northern,72135.8705385,bfa19f54-250b-4e8e-9898-5a8f45e003b8,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,258.604288750231,abad061b-2f24-4539-b4cb-d3469ae13b4e,1811033.609375,28925.1318131614
204,61,0.33687086,14674.03581487,Neighborhood Park,NP,4,Esplen Tot Lot,Esplen Park,Esplen Park,Western,365.82805247,3be60947-2c73-4a72-b6d0-3461abc6e3d2,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,0.194788174402929,ef886280-d035-4a80-a956-53deeeb2b4de,1363.26953125,146.624052210258
205,65,3.04729099,132739.46448514,Neighborhood Park,NP,3,Fineview Playground,Fineview Park,Fineview Park,Northern,1108.51197838,db4b7e9e-0652-4636-8213-593a7cfc5953,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,1.76197212241509,85b8e8a7-e5d7-4918-b91b-29b0e61ff77d,12331.94140625,444.230416420814
206,143,16.03226582,698362.70569942,Regional Park,RP,6,Olympia Park,Emerald View Park - Olympia Park,Emerald View Regional Park,Western,2810.16261338,5217a635-cba9-4f1e-93c7-a604fc8f59e3,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,9.27844300368542,42fc2099-7bb4-4bf6-9630-0e2ec85acc56,64880.2578125,1126.68716747355
207,89,653.95485022,28486159.3307802,Regional Park,RP,12,Highland Park,Highland Park,Highland Park,Northeast,107319.676945,c9e4bd66-e2b3-4f4a-b49b-a9f1ee0688b3,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,377.910576753222,67d37574-c0b0-4bec-9fbe-6114dc15161b,2646461.42578125,43040.5950903328
208,79,57.77914207,2516849.36131696,Regional Park,RP,6,Grandview Park,Emerald View Park - Grandview Park,Emerald View Regional Park,Southern,14446.4975317,aeeefde8-4347-4ab7-8bdf-bc2bedd16135,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,33.4432720863155,668def19-2454-43d1-871f-9c005a88cd44,233823.89453125,5785.00491624445
209,34,11.73663755,511245.88671728,Neighborhood Park,NP,11,Chadwick Rec Center,Chadwick Park,Chadwick Park,Eastern,2425.2027917,ad00f128-3d9f-4bfd-93e9-98fe0d4241a4,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,6.78549647528316,2225195b-1a2c-4b4c-adda-9ea01561464b,47496.49609375,972.106332379237
210,37,1.51023534,65785.58816996,Neighborhood Park,NP,7,Cobden St Bsktbl Ct,Cobden Street Park,Cobden St. Park,Southern,825.91850831,fb470340-f4f8-460a-8a16-f16e333573d9,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,0.874327570698412,df3585a8-8b92-4d23-8837-c9983c39594f,6111.703125,330.679923562791
211,170,99.28352916,4324773.23089955,Community Park,CP,7,Southside Park,Southside Park,Southside Park,Southern,15701.0199754,95cc2ac5-a1c2-4648-a584-a51d1cc70630,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,57.3113495470274,3e61ff80-c3d3-491d-b22c-06661758ea1c,400636.15625,6189.72414637318
212,87,8.83843524,385000.69916227,Neighborhood Park,NP,12,Heths Playground,Heth's Park,Heth's Park,Northeast,2181.06130748,a6a4ac92-5a00-4af5-9f11-716e51079fea,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,5.10806964711613,902ef730-a0db-4c99-813c-eec1ede0858c,35767.87109375,875.156726710089
213,153,40.3865157,1759229.58693411,Community Park,CP,5,Phillips Park,Phillips Park,Phillips Park,Southern,7113.21285449,24cd4273-9d1a-4886-a9f1-a3c4a9d50196,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,23.4008143097936,170e78a2-d3e0-4f60-a598-e5d80254b530,163438.4453125,2850.66953507494
214,28,97.05151616,4227547.13368303,Community Park,CP,5,Brookline Memorial Park,Brookline Memorial Park,Brookline Memorial Park,Southern,9152.84161215,041dc569-0b41-4383-bed6-df92c7b07dca,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,56.235114418385,b2a70dbf-a5f0-448d-9f5f-b7420320bdd8,392753.6015625,3750.83023017651
34264,71,1046.82485955,45599508.4834013,Regional Park,RP,10,Frick Park,Frick Park,Frick Park,Eastern,75685.9897736,4012cac2-c9fc-4074-8331-0c10b213ef16,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,594.571469970192,08d843a7-4cc8-4054-81c5-7e9af67fb024,4157443.01953125,27417.6178468842
154799,227,0.99115208,43174.41203933,Special Use Park,SU,,,Arlington Gym,,,,,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,,6b6dbde5-cdce-46e7-9f74-b594b4ba5a56,4011.046875,274.845251683974
246802,214,4.4105069,192120.91190443,Neighborhood Park,NP,12,Liberty Green Park,Liberty Green Park,Liberty Green Park,Northeast,1386.2216884, ,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,4.41050689601439,04c7454f-8959-45eb-9857-8fcd58a672f0,17848.6875,556.095111143292
